id,type,src,dst,app,latency,message,ctime,size,buffer
52,LINK,1,53,SimpleCase,1.052295,M.Z,200,52295,25
27,LINK,53,2,SimpleCase,1.038303,M.A2,201.05862474699998,38303,12
27,LINK,53,2,SimpleCase,1.014075,M.A2,201.05862474699998,14075,13
27,LINK,53,2,SimpleCase,1.050518,M.A2,201.05862474699998,50518,14
27,LINK,53,2,SimpleCase,1.026333,M.A2,201.05862474699998,26333,15
27,LINK,53,2,SimpleCase,1.00217,M.A2,201.05862474699998,2170,16
27,LINK,53,2,SimpleCase,1.04523,M.A2,201.05862474699998,45230,17
27,LINK,53,2,SimpleCase,1.058587,M.A2,201.05862474699998,58587,18
42,LINK,43,2,SimpleCase,1.029697,M.P2,201.52874957142856,29697,18
42,LINK,43,2,SimpleCase,1.049741,M.P2,201.52874957142856,49741,19
42,LINK,43,2,SimpleCase,1.002938,M.P2,201.52874957142856,2938,20
42,LINK,43,2,SimpleCase,1.022321,M.P2,201.52874957142856,22321,21
28,LINK,53,2,SimpleCase,1.008727,M.B2,202.10375616399998,8727,19
28,LINK,53,2,SimpleCase,1.047096,M.B2,202.10375616399998,47096,20
28,LINK,53,2,SimpleCase,1.058016,M.B2,202.10375616399998,58016,21
28,LINK,53,2,SimpleCase,1.045113,M.B2,202.10375616399998,45113,22
34,LINK,47,2,SimpleCase,1.030188,M.H2,202.1963700869565,30188,23
34,LINK,47,2,SimpleCase,1.008175,M.H2,202.1963700869565,8175,24
34,LINK,47,2,SimpleCase,1.048544,M.H2,202.1963700869565,48544,25
48,LINK,41,2,SimpleCase,1.048424,M.V2,202.885399,48424,25
48,LINK,41,2,SimpleCase,1.008073,M.V2,202.885399,8073,26
48,LINK,41,2,SimpleCase,1.020403,M.V2,202.885399,20403,27
48,LINK,41,2,SimpleCase,1.055899,M.V2,202.885399,55899,28
29,LINK,51,2,SimpleCase,1.030457,M.C2,202.955521,30457,29
29,LINK,51,2,SimpleCase,1.002093,M.C2,202.955521,2093,30
29,LINK,51,2,SimpleCase,1.012121,M.C2,202.955521,12121,31
35,LINK,53,2,SimpleCase,1.053548,M.I2,203.157296286,53548,30
41,LINK,44,2,SimpleCase,1.035578,M.O2,203.901769627907,35578,29
41,LINK,44,2,SimpleCase,1.044202,M.O2,203.901769627907,44202,30
41,LINK,44,2,SimpleCase,1.034181,M.O2,203.901769627907,34181,31
41,LINK,44,2,SimpleCase,1.035334,M.O2,203.901769627907,35334,32
41,LINK,44,2,SimpleCase,1.055258,M.O2,203.901769627907,55258,33
32,LINK,49,2,SimpleCase,1.055772,M.F2,204.007824,55772,32
32,LINK,49,2,SimpleCase,1.033914,M.F2,204.007824,33914,33
32,LINK,49,2,SimpleCase,1.020024,M.F2,204.007824,20024,34
32,LINK,49,2,SimpleCase,1.017725,M.F2,204.007824,17725,35
32,LINK,49,2,SimpleCase,1.018885,M.F2,204.007824,18885,36
32,LINK,49,2,SimpleCase,1.057199,M.F2,204.007824,57199,37
31,LINK,50,2,SimpleCase,1.032972,M.E2,204.09960348979592,32972,38
31,LINK,50,2,SimpleCase,1.048109,M.E2,204.09960348979592,48109,39
31,LINK,50,2,SimpleCase,1.058379,M.E2,204.09960348979592,58379,40
38,LINK,53,2,SimpleCase,1.036482,M.L2,204.196170539,36482,39
